freq,psd_x,psd_y,psd_z,psd_xyz,zv(126.6),mzv(76.6),ei(42.8),2hump_ei(43.0),3hump_ei(115.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,1.459e-13,2.762e-15,1.551e-15,1.502e-13,0.998,0.996,0.988,0.981,0.992
3.0,1.676e-01,1.075e-02,5.510e-03,1.839e-01,0.996,0.990,0.969,0.952,0.981
4.4,1.588e+01,2.762e+00,1.233e+00,1.988e+01,0.994,0.983,0.946,0.915,0.969
5.9,7.683e+01,1.647e+01,7.784e+00,1.011e+02,0.991,0.975,0.917,0.870,0.955
7.4,1.365e+02,3.350e+01,1.670e+01,1.867e+02,0.988,0.966,0.884,0.819,0.939
8.9,2.245e+02,5.159e+01,2.443e+01,3.006e+02,0.985,0.956,0.846,0.762,0.921
10.3,2.970e+02,5.771e+01,2.554e+01,3.802e+02,0.981,0.945,0.804,0.700,0.902
11.8,3.150e+02,5.073e+01,2.564e+01,3.914e+02,0.977,0.933,0.758,0.635,0.881
13.3,3.281e+02,4.381e+01,2.230e+01,3.942e+02,0.973,0.920,0.710,0.568,0.858
14.8,3.467e+02,3.758e+01,2.130e+01,4.056e+02,0.968,0.906,0.660,0.501,0.834
16.2,3.802e+02,3.509e+01,1.935e+01,4.346e+02,0.963,0.891,0.607,0.434,0.809
17.7,4.066e+02,3.386e+01,1.664e+01,4.571e+02,0.958,0.875,0.554,0.369,0.783
19.2,4.586e+02,2.980e+01,1.493e+01,5.033e+02,0.952,0.858,0.500,0.307,0.756
20.7,4.932e+02,2.667e+01,1.376e+01,5.336e+02,0.947,0.840,0.446,0.248,0.728
22.1,5.453e+02,2.528e+01,1.298e+01,5.836e+02,0.940,0.822,0.393,0.195,0.699
23.6,5.928e+02,2.493e+01,1.208e+01,6.298e+02,0.934,0.803,0.341,0.147,0.670
25.1,6.347e+02,2.497e+01,1.117e+01,6.708e+02,0.927,0.783,0.290,0.105,0.640
26.6,6.940e+02,2.455e+01,1.039e+01,7.289e+02,0.920,0.762,0.242,0.070,0.609
28.0,7.714e+02,2.276e+01,1.004e+01,8.042e+02,0.913,0.741,0.197,0.044,0.579
29.5,8.531e+02,2.158e+01,1.059e+01,8.852e+02,0.906,0.719,0.155,0.029,0.548
31.0,9.070e+02,2.190e+01,1.041e+01,9.393e+02,0.898,0.697,0.116,0.029,0.517
32.5,9.979e+02,2.220e+01,9.852e+00,1.030e+03,0.890,0.674,0.082,0.034,0.487
33.9,1.096e+03,2.034e+01,8.681e+00,1.125e+03,0.881,0.651,0.053,0.038,0.456
35.4,1.229e+03,2.167e+01,7.712e+00,1.258e+03,0.872,0.627,0.030,0.038,0.426
36.9,1.377e+03,2.091e+01,7.493e+00,1.405e+03,0.864,0.603,0.020,0.035,0.397
38.4,1.518e+03,2.237e+01,7.241e+00,1.547e+03,0.854,0.579,0.025,0.030,0.368
39.9,1.661e+03,2.256e+01,7.908e+00,1.692e+03,0.845,0.554,0.033,0.022,0.339
41.3,1.814e+03,2.773e+01,7.697e+00,1.849e+03,0.835,0.530,0.038,0.014,0.312
